,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,31.84715833502955,41.30769511152806,42.82177971483231,33.72137652333247,42.40286733741199,43.295524911152825,37.725606569952596,48.83896397450347,49.11802496516285,44.80769183011077,41.48268785024477,52.85282065825765
ah,41.30769511152806,32.70138266995012,35.21827331052587,41.00182064558224,49.579967063143165,44.73964075237286,47.468624842156764,54.526525628719504,48.03009252823302,44.30829561054526,35.15659476971028,52.99279621314884
aw,42.8217797148323,35.21827331052587,31.68407037703424,42.974036987456564,50.01536092993329,44.02582201113012,47.57610868903497,54.02584512461251,43.846477286396805,40.99178385063895,34.46848465983115,49.38176163884504
eh,33.72137652333247,41.00182064558224,42.974036987456564,30.856022570785953,41.77060067905778,41.42079168858896,37.177952738396975,49.07440585427792,48.06651379764242,43.02353910744071,39.203180289266186,52.162128773560916
ei,42.40286733741199,49.579967063143165,50.0153609299333,41.77060067905778,30.100732070277747,42.75067392466507,39.97533428360784,38.371982632993465,45.30329282274638,46.92057275451519,47.70360723601509,47.58523756602759
er,43.29552491115283,44.73964075237286,44.02582201113012,41.42079168858897,42.75067392466507,31.708686098004694,42.427713128419114,48.08244677869425,42.61474834286435,40.05023913397851,41.75382766070419,44.197200091885975
ih,37.725606569952596,47.46862484215676,47.57610868903497,37.17795273839698,39.97533428360784,42.427713128419114,31.126122128564784,42.41190368508249,48.14066060467681,41.6655387760616,44.0765178194793,48.66515898938255
iy,48.83896397450347,54.5265256287195,54.02584512461251,49.07440585427792,38.371982632993465,48.08244677869425,42.41190368508249,33.320033360802775,49.7690822234372,49.88631323698407,52.97263666403384,46.5958729994364
oa,49.11802496516285,48.03009252823302,43.846477286396805,48.066513797642415,45.30329282274638,42.61474834286435,48.14066060467681,49.7690822234372,32.22054942889198,42.128335137325756,44.937565127916315,39.32409987860745
oo,44.80769183011076,44.30829561054526,40.99178385063895,43.02353910744071,46.920572754515184,40.05023913397851,41.6655387760616,49.886313236984066,42.128335137325756,32.818919912890394,38.291787428224836,42.67255901526388
uh,41.48268785024477,35.15659476971028,34.46848465983115,39.20318028926619,47.70360723601509,41.7538276607042,44.0765178194793,52.97263666403384,44.93756512791632,38.291787428224836,31.069166532260546,49.81282039180943
uw,52.85282065825764,52.99279621314884,49.38176163884504,52.162128773560916,47.585237566027594,44.197200091885975,48.66515898938255,46.595872999436395,39.32409987860745,42.67255901526388,49.81282039180943,35.14654967774397
