,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,32.21668186457989,40.84266345134944,42.62539453570835,33.80109046101193,41.665638018564145,43.0706403695403,37.1574053768888,48.33290852864047,48.97043583861495,43.890181091344715,41.13641504846215,52.33195627803685
ah,40.84266345134944,33.705833285043454,35.44744126372312,39.89007052422429,48.91146677775928,43.722549001314775,47.0301813556244,54.71740338225716,46.42395058601066,42.44969304744008,35.723529047145156,51.56404082759883
aw,42.625394535708345,35.44744126372312,31.971164289249963,42.253683879790586,49.11635699392159,43.040965593604476,47.149147253312485,53.75801305580531,41.614137695857934,39.03991910232172,34.7380262056416,47.19347050725854
eh,33.801090461011924,39.89007052422429,42.253683879790586,31.21726182480192,40.616382697827284,41.00555674839482,35.68877045196285,47.93026360138423,47.678764844381405,41.241333905428895,38.057488704688474,51.156934108322545
ei,41.665638018564145,48.91146677775928,49.11635699392159,40.616382697827284,31.699855733064734,42.39618083990146,38.601487280938564,37.875543710957466,45.67074324136998,45.46926371105823,46.48577124473291,46.988438002370216
er,43.0706403695403,43.72254900131479,43.040965593604476,41.00555674839483,42.39618083990146,33.33303480797053,42.53008356936262,47.83266762821055,42.4768794835477,39.3752545573838,40.4929679472625,43.293979131417196
ih,37.1574053768888,47.0301813556244,47.14914725331249,35.68877045196285,38.601487280938564,42.53008356936262,31.11885483180079,41.67427484705489,48.37200547812189,41.27723799728519,43.31614967035475,48.64683999175352
iy,48.33290852864047,54.71740338225716,53.758013055805314,47.93026360138423,37.875543710957466,47.832667628210544,41.67427484705489,34.18089110290554,49.78180394001016,48.995584293449454,52.419833034040614,46.89212030540784
oa,48.97043583861495,46.42395058601067,41.614137695857934,47.678764844381405,45.670743241369976,42.4768794835477,48.37200547812189,49.78180394001016,32.98181268970782,40.940405718731725,42.62944106688659,38.36404731801039
oo,43.890181091344715,42.44969304744008,39.03991910232172,41.241333905428895,45.46926371105823,39.3752545573838,41.2772379972852,48.995584293449454,40.94040571873173,32.40359035975232,35.866804624629026,41.55669494725443
uh,41.13641504846215,35.723529047145156,34.73802620564161,38.05748870468848,46.48577124473291,40.49296794726251,43.316149670354754,52.41983303404062,42.629441066886585,35.866804624629026,31.38436409300149,47.34153488692384
uw,52.33195627803685,51.56404082759884,47.19347050725853,51.15693410832255,46.988438002370216,43.293979131417196,48.64683999175351,46.892120305407836,38.36404731801039,41.55669494725443,47.34153488692384,35.000405028997285
