,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,9.096444145412134,9.358636857562233,9.349182601976588,9.208764746496445,9.699254006530072,9.530830103753852,9.429127605913816,9.813947375439612,9.926070855633037,9.48952801682811,9.662473730153424,9.995784651622781
ah,9.358636857562233,8.8350709182276,8.901460300145924,9.166496260256359,9.740274359212158,9.374483614688497,9.667382671146989,9.82532417215629,9.630388738794966,9.443748250304722,9.206865301766314,9.79313697405323
aw,9.349182601976588,8.901460300145926,8.699557769876579,9.330680127426781,9.754920143349686,9.423361815038774,9.74432793511667,9.840300338462878,9.544163308219106,9.28472202130883,9.286227299935078,9.659963633731689
eh,9.208764746496445,9.166496260256359,9.330680127426781,8.709217298785893,9.416814150051552,9.166862130679304,9.024442985989973,9.582004770153139,9.515976450169417,9.189163035069306,9.053637827858374,9.713547091109271
ei,9.699254006530072,9.740274359212158,9.754920143349686,9.416814150051554,8.706060751058015,9.15155411350039,9.258275761350495,8.942782843325302,9.02013129857185,9.406155956589156,9.6949805669451,9.145166335168783
er,9.530830103753852,9.374483614688497,9.423361815038774,9.166862130679304,9.15155411350039,8.506800884756542,9.107999243261718,9.165979496567534,8.936589041363703,8.937626235961703,9.378626148379745,8.924898626435585
ih,9.429127605913814,9.667382671146987,9.744327935116669,9.024442985989973,9.258275761350493,9.107999243261718,8.696971893614396,9.137987553102487,9.442477717687884,8.94225280833119,9.343491805700223,9.405969563259907
iy,9.813947375439614,9.82532417215629,9.84030033846288,9.582004770153137,8.9427828433253,9.165979496567534,9.137987553102484,8.482644851649528,9.275396599680894,9.287293599968665,9.796893832537386,8.890824543029511
oa,9.926070855633037,9.630388738794966,9.544163308219106,9.515976450169418,9.02013129857185,8.936589041363703,9.442477717687884,9.275396599680894,8.296668526095402,9.226481200551552,9.548291220115612,8.633028869285752
oo,9.489528016828112,9.443748250304722,9.28472202130883,9.189163035069306,9.406155956589156,8.937626235961705,8.942252808331192,9.287293599968665,9.226481200551552,8.474814236676522,9.138720538006336,9.109850106423085
uh,9.662473730153424,9.206865301766314,9.28622729993508,9.053637827858374,9.6949805669451,9.378626148379745,9.343491805700221,9.796893832537387,9.548291220115612,9.138720538006336,8.98104504357822,9.768091513815586
uw,9.99578465162278,9.79313697405323,9.659963633731689,9.713547091109271,9.145166335168785,8.924898626435585,9.405969563259905,8.890824543029511,8.633028869285752,9.109850106423087,9.768091513815586,8.315001820560799
