,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,32.14821133040199,39.48675022739278,40.94684131958913,35.69856844019756,42.40620489626472,43.33974411647299,36.97802825959328,46.19399017855756,46.82316344546052,42.08785003471426,40.18285658038683,49.052569914219326
ah,39.48675022739279,32.10041103670164,33.9874013288227,37.602802638616815,45.99544561084209,42.071366748148996,43.825906522670856,49.86445711508122,43.88017460100572,40.595165000975925,34.3951569542059,48.008654167132654
aw,40.94684131958913,33.9874013288227,31.83690564288334,40.10928140783565,46.79309037152101,42.10876309660643,44.63661539996924,49.98221762173568,41.624834792554736,38.23041341180215,34.68650671546931,45.870288275216794
eh,35.698568440197555,37.60280263861681,40.10928140783566,32.52080896073329,40.58183555878589,40.17058190694095,36.30078363461412,45.60526307779223,44.46806977727153,39.85607468244952,36.30583792469177,47.39469694112057
ei,42.40620489626472,45.99544561084209,46.79309037152101,40.581835558785876,30.90532094670817,40.643802940401535,37.86021663710169,35.11594143321086,41.48291795686356,43.550686213753714,44.13657944528149,42.277711155390854
er,43.33974411647299,42.071366748148996,42.10876309660643,40.17058190694095,40.643802940401535,33.246099133909034,40.874053894684984,44.0446691129003,40.392920845133375,38.880156767624335,40.31175990530201,40.822511271683936
ih,36.97802825959329,43.82590652267085,44.63661539996923,36.30078363461413,37.86021663710169,40.87405389468497,31.002618013436468,39.261394819730064,45.014076395391086,39.06162174529311,40.89997725345415,44.40081817856644
iy,46.19399017855756,49.86445711508122,49.98221762173568,45.60526307779223,35.11594143321086,44.04466911290031,39.261394819730064,30.601774767982125,44.95688631348114,45.623187857330464,48.53950681365032,41.293556262103074
oa,46.82316344546052,43.88017460100572,41.62483479255474,44.46806977727153,41.48291795686357,40.392920845133375,45.01407639539108,44.95688631348115,31.300617480568455,40.605827162119276,41.678652833074985,36.46292574863957
oo,42.08785003471426,40.595165000975925,38.23041341180215,39.85607468244952,43.550686213753714,38.880156767624335,39.0616217452931,45.623187857330464,40.605827162119276,31.404774149289434,35.53780765418596,40.80198334856454
uh,40.18285658038683,34.3951569542059,34.6865067154693,36.30583792469177,44.13657944528149,40.311759905302004,40.89997725345416,48.53950681365032,41.678652833074985,35.53780765418596,30.676615999640592,45.85596587869159
uw,49.052569914219326,48.008654167132654,45.870288275216794,47.39469694112057,42.27771115539085,40.82251127168395,44.40081817856644,41.293556262103074,36.46292574863957,40.80198334856454,45.85596587869159,33.18893960779373
