,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,9.814382679733368,11.965931258898223,12.629876371874218,10.162698265016822,12.2723293662678,13.789648782007172,11.380539804167203,13.408000321883623,14.305030004760308,13.138741229585433,12.02589123820976,15.085899246681755
ah,11.965931258898223,10.102781018304208,10.963902295981551,11.949504705033481,14.300971184306508,14.25130015375678,13.995175766324348,14.865762172129585,13.93725412067874,12.70975963226475,10.7051665403156,14.636268165781017
aw,12.629876371874218,10.96390229598155,10.097712044894616,12.692152320335074,14.214355165919567,14.502572097993841,14.09488856314918,14.571632540007561,12.55209227702794,12.198035968625462,10.754214286263307,13.540381102956417
eh,10.16269826501682,11.94950470503348,12.692152320335074,9.74720696863954,12.145982435708774,13.456729224704198,10.988189824726009,13.41935646561003,14.042810501944214,12.540876516449957,11.478929276490616,14.823427697171642
ei,12.272329366267801,14.300971184306508,14.214355165919567,12.145982435708774,10.11648319919284,13.623839078776209,11.532676837492687,11.489157667877123,13.530864749351165,13.421834261996842,13.556274397744211,14.0224660567028
er,13.789648782007173,14.25130015375678,14.502572097993841,13.456729224704196,13.62383907877621,10.803923808534577,13.488571426775609,14.375592591797519,14.494911298995948,13.066813716021613,13.479498346275282,14.18745402049769
ih,11.380539804167203,13.995175766324348,14.09488856314918,10.988189824726009,11.532676837492687,13.48857142677561,9.862249457478535,12.1250419801674,14.213421445545524,12.625689828483168,12.993557342592947,14.310670272017292
iy,13.408000321883621,14.865762172129584,14.571632540007561,13.41935646561003,11.489157667877123,14.375592591797517,12.1250419801674,10.28907553306435,14.082689503410224,13.674278075950436,14.248715687740962,13.576788162119454
oa,14.305030004760308,13.93725412067874,12.55209227702794,14.042810501944214,13.530864749351164,14.49491129899595,14.213421445545523,14.08268950341022,10.418271417549208,12.683145494171413,12.918540644250088,11.743933879833756
oo,13.138741229585431,12.70975963226475,12.198035968625462,12.540876516449957,13.421834261996842,13.066813716021612,12.62568982848317,13.674278075950435,12.683145494171415,10.423959087138696,11.120467999196022,12.266392638073212
uh,12.02589123820976,10.7051665403156,10.754214286263307,11.478929276490614,13.55627439774421,13.479498346275282,12.993557342592945,14.248715687740962,12.918540644250088,11.120467999196022,9.848349278029925,13.515598300985335
uw,15.085899246681755,14.636268165781015,13.540381102956415,14.823427697171642,14.022466056702799,14.18745402049769,14.310670272017292,13.576788162119454,11.743933879833756,12.266392638073212,13.515598300985337,10.806589134366126
