,ae,ah,aw,eh,ei,er,ih,iy,oa,oo,uh,uw
ae,35.4647502885478,41.65468309773014,42.79907056677223,39.576135882520646,44.82482999846986,45.50401239350431,39.695114985126146,46.345552205687056,48.18566955066827,44.45485366110539,43.01982780921152,48.929357862321886
ah,41.65468309773015,34.68280199703619,36.92574530580697,40.76981127506958,46.6014200252642,44.440959737129525,44.473659087342746,48.36088786309811,45.73686898196672,43.63035194177669,37.639047404160465,47.58512322946098
aw,42.79907056677223,36.92574530580697,35.66093548879799,42.989674898325006,47.22731573674436,44.70449965781891,45.46529548501541,48.73787773812194,44.68050263490336,42.42541362183224,38.734508399308325,46.639505985127144
eh,39.57613588252066,40.76981127506957,42.98967489832501,35.79622766993209,44.10307799197114,43.89818426847346,39.76872925338988,46.54974348417268,47.00698389193096,43.790856154620705,40.42299331638505,48.16057904984697
ei,44.82482999846986,46.6014200252642,47.22731573674436,44.10307799197114,33.861778200046224,44.14399134961184,42.08931848577211,39.58081170057372,43.10421128766342,46.53656654222121,46.06650005736019,44.63348874954589
er,45.50401239350431,44.44095973712952,44.7044996578189,43.89818426847346,44.14399134961184,35.62799632015716,44.49984673754502,45.808480291590385,43.99202439628104,43.80373612917676,44.696826707018296,44.24992539729752
ih,39.69511498512614,44.473659087342746,45.46529548501541,39.76872925338988,42.08931848577211,44.49984673754502,34.515790672146615,41.27362725488335,47.06859657481698,41.929307904255865,42.740344856350646,45.74826987069894
iy,46.345552205687056,48.3608878630981,48.73787773812194,46.54974348417268,39.58081170057372,45.808480291590385,41.273627254883344,33.91444122398724,46.263981767039176,46.881339697360715,48.36009423200324,42.84928454221211
oa,48.18566955066827,45.736868981966715,44.68050263490337,47.006983891930965,43.10421128766342,43.99202439628104,47.06859657481698,46.263981767039176,35.17594016951421,44.56662574109987,45.36973703136082,40.56918730779824
oo,44.45485366110539,43.63035194177669,42.42541362183224,43.790856154620705,46.53656654222121,43.80373612917676,41.92930790425587,46.881339697360715,44.56662574109987,36.62581446750196,40.47179583742753,43.819491341618594
uh,43.01982780921152,37.639047404160465,38.73450839930833,40.42299331638506,46.06650005736019,44.696826707018296,42.740344856350646,48.36009423200325,45.36973703136081,40.47179583742752,34.95404618363959,47.04152257429914
uw,48.929357862321886,47.585123229460976,46.639505985127144,48.160579049846966,44.63348874954588,44.24992539729752,45.74826987069894,42.84928454221211,40.56918730779824,43.819491341618594,47.04152257429914,37.1374818419817
